person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,male,Bachelor,75032.0,0,RENT,10000.0,DEBTCONSOLIDATION,11.01,0.13,4.0,631,No,0
26.0,male,Doctorate,146163.0,4,RENT,2500.0,EDUCATION,7.66,0.02,4.0,660,No,0
24.0,female,High School,119675.0,0,RENT,12000.0,DEBTCONSOLIDATION,6.03,0.1,4.0,678,No,0
32.0,male,High School,61304.0,9,RENT,11100.0,HOMEIMPROVEMENT,10.59,0.18,10.0,631,Yes,0
24.0,female,High School,118417.0,0,RENT,25000.0,HOMEIMPROVEMENT,12.61,0.21,2.0,625,No,1
38.0,male,High School,44456.0,18,RENT,8400.0,MEDICAL,13.22,0.19,16.0,665,No,0
23.0,male,Bachelor,29937.0,1,RENT,3600.0,EDUCATION,16.49,0.12,3.0,596,No,1
32.0,male,Bachelor,62700.0,8,RENT,11000.0,MEDICAL,7.29,0.18,5.0,707,No,0
22.0,female,Master,64082.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,15.23,0.12,3.0,589,No,0
33.0,male,Bachelor,121038.0,13,MORTGAGE,6000.0,PERSONAL,11.11,0.05,7.0,684,No,0
28.0,male,Master,65930.0,7,MORTGAGE,12000.0,PERSONAL,15.51,0.18,7.0,663,No,1
22.0,female,Associate,26302.0,0,RENT,4750.0,EDUCATION,11.01,0.18,2.0,623,No,0
21.0,female,Associate,46984.0,0,OWN,12200.0,VENTURE,11.01,0.26,2.0,613,Yes,0
25.0,female,Associate,92814.0,2,MORTGAGE,14747.0,EDUCATION,13.95,0.16,2.0,639,No,1
35.0,female,High School,80933.0,11,MORTGAGE,3300.0,PERSONAL,7.88,0.04,6.0,642,No,0
26.0,male,High School,153415.0,1,MORTGAGE,4900.0,DEBTCONSOLIDATION,11.01,0.03,3.0,619,Yes,0
24.0,male,High School,60382.0,5,RENT,14500.0,EDUCATION,11.49,0.24,3.0,560,No,1
24.0,female,Bachelor,103112.0,2,MORTGAGE,12000.0,HOMEIMPROVEMENT,7.51,0.12,4.0,670,No,0
25.0,female,High School,121286.0,6,MORTGAGE,25000.0,VENTURE,11.14,0.21,4.0,612,Yes,0
24.0,male,Associate,103118.0,1,MORTGAGE,2500.0,MEDICAL,10.38,0.02,4.0,632,Yes,0
30.0,female,Associate,42884.0,4,OWN,10000.0,MEDICAL,10.65,0.23,6.0,614,Yes,0
24.0,female,Bachelor,48932.0,2,RENT,8000.0,PERSONAL,6.17,0.16,2.0,610,Yes,0
27.0,male,Bachelor,240921.0,1,MORTGAGE,18401.0,VENTURE,14.52,0.08,5.0,677,Yes,0
27.0,female,Bachelor,68809.0,3,RENT,14000.0,HOMEIMPROVEMENT,13.87,0.2,8.0,656,No,1
26.0,male,Bachelor,70538.0,4,RENT,19979.0,DEBTCONSOLIDATION,10.59,0.28,3.0,618,No,1
22.0,male,Bachelor,65445.0,1,RENT,12000.0,DEBTCONSOLIDATION,8.49,0.18,4.0,623,No,0
31.0,female,High School,66853.0,10,RENT,11000.0,MEDICAL,10.16,0.16,9.0,674,Yes,0
27.0,female,Bachelor,61498.0,3,MORTGAGE,11000.0,VENTURE,9.56,0.18,5.0,646,Yes,0
25.0,female,Bachelor,96913.0,3,MORTGAGE,6000.0,HOMEIMPROVEMENT,6.75,0.06,4.0,697,No,0
24.0,female,Bachelor,100941.0,0,MORTGAGE,25000.0,DEBTCONSOLIDATION,13.79,0.25,3.0,645,Yes,0
35.0,male,High School,126840.0,13,RENT,7250.0,VENTURE,11.01,0.06,5.0,601,Yes,0
40.0,female,High School,66440.0,15,MORTGAGE,25000.0,MEDICAL,18.09,0.38,12.0,607,No,1
31.0,female,Master,72748.0,9,MORTGAGE,18341.0,EDUCATION,15.66,0.25,10.0,728,No,0
34.0,male,Bachelor,109066.0,10,MORTGAGE,7000.0,HOMEIMPROVEMENT,5.79,0.06,8.0,686,No,0
26.0,female,Associate,92928.0,6,MORTGAGE,12800.0,PERSONAL,6.92,0.14,4.0,693,Yes,0
23.0,male,Associate,49102.0,0,MORTGAGE,6000.0,MEDICAL,12.68,0.12,4.0,678,Yes,0
23.0,male,Associate,38068.0,0,RENT,7200.0,DEBTCONSOLIDATION,14.54,0.19,3.0,648,No,1
36.0,male,High School,90717.0,11,RENT,7000.0,MEDICAL,6.92,0.08,17.0,617,Yes,0
23.0,male,High School,82652.0,1,RENT,7500.0,EDUCATION,11.49,0.09,3.0,596,Yes,0
